Symptom,Condition,Urgency,Prevention,What Not to Do
Tooth pain,Tooth decay,High (Immediate),"To prevent tooth pain, brush your teeth twice a day using fluoride toothpaste and gentle circular motions. This removes plaque and strengthens enamel. Floss once a day to clean between your teeth where a toothbrush can’t reach. Limit sugary snacks and drinks, and rinse your mouth with water after consuming them. Visit your dentist every six months for checkups and cleanings so cavities or other issues can be caught early.",Do not put aspirin directly on your tooth or gums because it can burn your tissue and doesn’t fix the problem. Do not ignore pain that lasts more than a day. Waiting can lead to a worse infection or tooth damage. Do not chew on the side of your mouth that hurts. This can make the problem worse and may cause cracks or more pain.
Swollen gums,Gingivitis,Medium (Schedule),Brush gently along the gumline twice a day using a soft toothbrush to prevent swelling. Floss daily to remove plaque that causes irritation and inflammation. Use an antiseptic mouthwash or warm saltwater rinse if recommended. Regular dental visits are important to remove hardened plaque and prevent gum problems from getting worse.,"Do not stop brushing or flossing just because your gums are swollen. Cleaning is what helps them heal. Do not use a hard-bristled brush, which can damage your gums further. Do not wait weeks to get help if your gums stay swollen or tender. Early treatment can stop gum disease from developing."
Bleeding gums,Periodontal disease,Medium (Schedule),"Brush your teeth twice a day using a soft-bristled toothbrush, making sure to clean gently along the gumline. Floss every day even if bleeding happens at first. This usually improves within a week and helps remove plaque that causes bleeding. Use an alcohol-free antibacterial mouthwash if your dentist recommends it. Avoid smoking and maintain a balanced diet to support gum health. Regular dental cleanings help remove hardened plaque that brushing can’t reach.","Do not stop flossing because your gums bleed. Bleeding is often a sign that you need to clean better, not less. Do not brush aggressively or with a hard brush, which can worsen irritation. Do not rely only on mouthwash without brushing and flossing — it cannot remove the buildup causing the problem."
Sensitivity to cold,Tooth sensitivity,Low (Monitor),"Use toothpaste designed for sensitive teeth twice a day. Brush gently with a soft-bristled toothbrush to protect enamel and avoid gum recession. Limit your intake of acidic drinks like soda and citrus juices. Rinse your mouth with water after consuming acidic foods. Visit your dentist to check for cavities, cracks, or gum issues that might be causing sensitivity.","Do not brush too hard or use a firm toothbrush. This can wear down enamel and make sensitivity worse. Do not jump between hot and cold drinks quickly. The rapid change in temperature can trigger pain. Do not ignore new or sharp sensitivity, especially if it only affects one tooth — it could be a sign of a bigger problem."
Bad breath,Gum disease,Medium (Schedule),"Brush your teeth and tongue twice a day to remove bacteria that cause odor. Floss daily to clean between teeth where food and plaque can hide. Drink plenty of water to keep your mouth moist and wash away particles. Avoid smoking, and limit foods that cause strong smells. Regular dental visits help identify and treat any hidden gum disease or infection.","Do not rely only on gum or mints to hide bad breath. They don’t fix the cause and the smell will return. Do not forget to clean your tongue — it traps bacteria that create odor. Do not skip flossing, since brushing alone doesn’t reach the spaces where smells often start."
Cracked tooth,Tooth fracture,High (Immediate),"Avoid chewing on ice, hard candy, or other hard objects that can weaken or break your teeth. Wear a mouthguard if you grind your teeth at night or play contact sports. Don’t use your teeth to open packaging or bottles. See your dentist regularly to catch early signs of cracks or worn fillings before they become a bigger issue.",Do not continue chewing on a cracked tooth. This can make the crack worse or break the tooth completely. Do not ignore sharp pain while biting — it can mean a serious crack. Do not use home remedies or glue to fix a broken tooth. Always see a dentist.
Tooth sensitivity,Tooth enamel loss,Low (Monitor),"Brush gently with a soft-bristled toothbrush and use toothpaste made for sensitive teeth. Avoid highly acidic or sugary foods and drinks, and rinse with water after consuming them. Use fluoride toothpaste or mouth rinse to help strengthen enamel. Visit your dentist to check for signs of enamel loss, cavities, or gum recession that might need treatment.","Do not brush too hard or with a firm brush. This will make sensitivity worse. Do not ignore pain that only affects one tooth — it may be more than just sensitivity. Do not use whitening products without checking with your dentist, as some can increase discomfort."
Painful chewing,Abscess,High (Immediate),"Maintain good oral hygiene by brushing and flossing daily to prevent infections. See your dentist regularly to catch issues like decay, cracked teeth, or gum disease before they worsen. If you ever feel pain while eating, switch to soft foods and avoid chewing on the affected side until it’s checked out.",Do not continue chewing on the painful side. This can worsen the issue and increase the risk of an abscess. Do not delay a dental visit — infections causing pain while chewing can spread if untreated. Do not try to pop or drain any swelling yourself.
Red gums,Gingivitis,Medium (Schedule),Brush gently along the gumline twice a day with a soft toothbrush. Floss daily to remove plaque buildup that leads to irritation. Use an antiseptic or saltwater rinse if your dentist suggests it. Visit your dentist for cleanings and early treatment if redness or swelling starts.,"Do not ignore red gums — they’re often the first sign of gum disease. Do not skip flossing because your gums feel tender. Regular cleaning helps them heal. Do not use hard brushes or brush aggressively, as this can increase inflammation."
Loose tooth,Periodontal disease,High (Immediate),"Practice consistent oral hygiene by brushing and flossing every day. Avoid habits like smoking, which weaken gum support. Eat a diet rich in vitamins and minerals to keep teeth and gums strong. Wear a mouthguard during sports or if you grind your teeth. See your dentist regularly to monitor gum health.","Do not wiggle or play with the loose tooth — this can damage the supporting bone. Do not bite into hard foods, as this can make the problem worse. Do not delay care — a loose tooth can sometimes be saved if treated early."
